Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Transmission/Distribution Interruption, Load Shed, Generation Inadequacy;9/8/2011;15:28;9/10/2011;15:30;WECC Reliability Coordinator;Arizona, California;7000;2000000;transmission interruption, distribution interruption
Electrical System Separation (Islanding);9/11/2012;13:00;9/11/2012;13:58;WECC - Loveland;Alberta, Canada;0;0;islanding
Load Shed of 100+ MW;9/10/2013;17:42;9/11/2013;12:02;PJM Interconnection;Erie, Pennsylvania;105;Unknown;load shedding
Vandalism;9/12/2011;9:15;9/12/2011;15:30;Atlantic City Electric;English Creek, New Jersey;0;0;vandalism
Vandalism;9/13/2011;14:03;9/13/2011;18:21;New York Power Authority;Saranac, New York;Unknown;0;vandalism
Vandalism;9/14/2011;9:00;9/14/2011;14:00;PacifiCorp;Salt Lake County, Utah;0;0;vandalism
Vandalism;9/13/2011;11:43;9/14/2011;16:00;City of Tacoma (TPWR);Lacamas Substation, Roy, Washington;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;9/11/2013;16:00;9/15/2013;16:00;Detroit Edison Co;Southeastern Michigan;400;75000;severe weather, thunderstorm
Vandalism;9/20/2011;12:55;9/20/2011;17:00;City of Tacoma (TPWR);Lacamas Substaion, Washington;Unknown;Unknown;vandalism
Generation Inadequacy, Load Shed;9/21/2011;14:37;9/21/2011;15:47;Puerto Rico Electric Power Authority (PREPA);Puerto Rico;600;319616;load shedding
Suspected Physical Attack;9/21/2011;10:30;9/21/2011;10:30;Delmarva Power & Light Company;Hockessin, Delaware;0;0;vandalism, physical
Vandalism;9/22/2011;14:50;9/22/2011;14:51;Dayton Power & Light;Montgomery County, Ohio;Unknown;0;vandalism
Vandalism;9/23/2011;9:04;9/23/2011;9:04;The United Illuminating Company;North Haven, Connecticut;0;0;vandalism
Vandalism;9/24/2011;16:17;9/25/2011;16:00;City of Tacoma (TPWR);Collins Substation, Tacoma, Washington;Unknown;Unknown;vandalism
Suspected Physical Attack;9/24/2012;0:00;9/25/2012;12:00;PEPCO (Potomac Electric Power Company);Brighton, Maryland;0;0;vandalism, physical
Vandalism;9/26/2011;10:15;9/26/2011;10:15;Atlantic City Electric;McKee City, New Jersey;0;0;vandalism
Voltage Reduction;9/26/2012;21:16;9/26/2012;22:18;Puerto Rico Electric Power Authority (PREPA);Puerto Rico;600;371526;voltage reduction
Suspected Physical Attack;9/28/2011;16:41;9/28/2011;16:41;Delmarva Power & Light Company;Bethany Beach, Delaware;0;0;vandalism, physical
Vandalism;9/28/2011;14:59;9/28/2011;14:59;Atlantic City Electric;Dorothy, New Jersey;0;0;vandalism
Vandalism;9/28/2011;9:30;9/28/2011;13:00;ISO New England/Convex;Watertown, Connecticut;Unknown;Unknown;vandalism
Physcial Attack, Sabotage;9/29/2013;0:00;9/29/2013;1:00;Entergy Systems Incorporated;Cabot Arkansas;Unknown;Unknown;vandalism, physical
Severe Weather;8/28/2011;5:01;9/3/2011;5:01;Consolidated Edison Company of NY, Inc.;Borough's and Westshester County New York;Unknown;50000;severe weather
Severe Weather;8/28/2011;7:00;9/3/2011;12:01;New York State Electric & Gas Corporation;New York;Unknown;99700;severe weather
Suspected Physical Attack;9/30/2011;8:22;9/30/2011;8:22;Delmarva Power & Light Company;Wilmington, Delaware;0;0;vandalism, physical
Vandalism;9/29/2011;18:44;9/30/2011;16:00;City of Tacoma (TPWR);Collins Substation, Tacoma, Washington;Unknown;Unknown;vandalism
Severe Weather;9/29/2011;5:00;9/30/2011;6:00;CenterPoint Energy;Houston metro area, Texas;Unknown;65000;severe weather
Severe Weather;8/27/2011;20:30;9/4/2011;23:30;Baltimore Gas and Electric Company;Maryland;1114;760113;severe weather
Severe Weather - Hurricane Isaac;8/28/2012;6:00;9/4/2012;8:00;Entergy;Arkansas, Louisiana, Mississippi;Unknown;770000;severe weather, hurricane/tropical storm
Electrical System Separation (Islanding);9/5/2012;10:56;9/5/2012;11:27;WECC Reliability Coordinator;Alberta, Canada;0;0;islanding
Actual Physical Attack;9/7/2011;0:08;9/7/2011;10:50;ISO New England;Western Connecticut, New York;0;0;vandalism, physical
Severe Weather;9/5/2011;16:30;9/7/2011;15:45;Southern Company;Alabama, Georgia;177;53295;severe weather
Severe Weather;9/3/2011;14:00;9/8/2011;18:00;Detroit Edison, Subsidiary of DTE Energy;Southeast Lower Peninsula, Michigan;Unknown;105000;severe weather
Severe Weather - Thunderstorms;9/8/2012;15:40;9/8/2012;18:45;PEPCO (Potomac Electric Power Company);Prince George's County, Montgomery County Maryland, D.C.;Unknown;65000;severe weather, thunderstorm
Severe Weather - Thunderstorms;9/7/2012;21:30;9/8/2012;1:00;Entergy Corp;Arkansas;Unknown;64951;severe weather, thunderstorm
Vandalism;9/8/2011;19:53;9/9/2011;16:00;City of Tacoma (TPWR);Collins Substation, Tacoma, Washington;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;9/8/2012;15:53;9/9/2012;19:46;Dominion Virginia Power;Virginia;475;119000;severe weather, thunderstorm
