Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Vandalism;5/14/2013;10:25;5/14/2013;11:42;Northeast Utilities/Public Service of New Hampshire;New Hampshire;Unknown;Unknown;vandalism
Vandalism;5/15/2013;14:11;5/15/2013;14:12;Delmarva Power & Light Company;Wilmington, Delaware;Unknown;Unknown;vandalism
Suspected Physical Attack;5/15/2014;0:10;5/15/2014;0:13;Whiting Clean Energy, Inc.;Whiting, Indiana;Unknown;Unknown;vandalism, physical
Public Appeal to Reduce Electricity Usage - Wild Fires;5/16/2014;10:43;5/16/2014;21:00;San Diego Gas & Electric Co;San Diego & Orange Counties, California;3900;1400000;wild fire, public appeal
Vandalism;5/17/2013;8:35;5/17/2013;8:36;Delmarva Power & Light Company;Newcastle, Delaware;Unknown;Unknown;vandalism
Severe Weather;5/2/2011;17:06;5/2/2011;20:00;Hawaiian Electric Company;Hawaii;220;62000;severe weather
Suspected Physical Attack;5/2/2011;14:00;5/2/2011;14:00;The United Illuminating Company;West River Substation, New Haven, Connecticut;0;0;vandalism, physical
Vandalism;5/2/2011;8:52;5/2/2011;10:46;PacifiCorp;N. Ogden Substation, Ogden, Utah;0;0;vandalism
Severe Weather;4/27/2011;8:00;5/2/2011;16:03;Southern Company;Alabama, Florida, Georgia, Mississippi;1422;426640;severe weather
Electrical System Separation (Islanding);5/2/2013;6:52;5/2/2013;10:07;WECC;Unknown;Unknown;Unknown;islanding
Generator Trip, Load Shed 100+ MW;5/20/2013;17:22;5/20/2013;21:09;Entergy Transmission - SOC;Gonzales Area Louisiana;103;21800;load shedding, generator trip
Physical Attack - Vandalism;5/20/2014;7:01;5/20/2014;7:02;PacifiCorp;Duchesne County, Utah;Unknown;Unknown;vandalism, physical
Physical Attack;5/21/2011;17:00;5/22/2011;18:34;Terra-Gen Dixie Valley, LLC;Dixie Valley Area, Nevada;56;Unknown;vandalism, physical
System Wide Voltage Reduction;5/22/2013;10:51;5/22/2013;10:57;Puerto Rico Electric Power Authority;System wide Puerto Rico;280;197287;voltage reduction
Severe Weather - Tornados;5/20/2013;15:00;5/22/2013;17:00;Oklahoma Gas & Electric Co;Moore, Oklahoma;Unknown;41306;severe weather, tornado
Severe Weather;5/24/2011;16:35;5/25/2011;0:40;Dominion Virginia Power;Eastern Virginia;790;175000;severe weather
Physical Attack;5/24/2011;9:00;5/25/2011;9:10;Edison Mission Generation (Fisk Station);Chicago, Illinois;0;0;vandalism, physical
Severe Weather;5/23/2011;16:45;5/25/2011;23:59;Duke Energy Midwest;Central, Indiana;1024;215387;severe weather
Severe Weather;5/23/2011;12:30;5/25/2011;0:30;Ameren;St. Louis County, Missouri;Unknown;70000;severe weather
Physical Attack;5/24/2012;15:20;5/25/2012;17:29;ISO New England;Tyngsborough, Massachusetts;Unknown;Unknown;vandalism, physical
Physical Attack - Vandalism;5/23/2014;15:00;5/25/2014;19:00;Duke Energy Progress;North Carolina;Unknown;Unknown;vandalism, physical
Transmission Level Interruption;5/26/2011;1:00;5/26/2011;6:00;Greenwood Utilities Commission;Greenwood, Mississippi;30;10000;transmission interruption
Severe Weather;5/24/2011;16:45;5/26/2011;17:00;Oklahoma Gas & Electric;Central Oklahoma;Unknown;54000;severe weather
Electrical System Separation (Islanding);5/26/2014;12:31;5/26/2014;13:18;Peak Reliability;British Columbia & Alberta, Canada;Unknown;Unknown;islanding
Severe Weather;5/26/2011;19:56;5/27/2011;18:00;PPL Electric Utilities;Central Pennsylvania;150;120001;severe weather
Physical Attack - Vandalism;5/27/2014;11:00;5/27/2014;16:53;Arizona Public Service Co;Phoenix, Arizona;Unknown;Unknown;vandalism, physical
Severe Weather;5/26/2011;18:30;5/28/2011;4:44;Southern Company;Southern Balancing Area, Georgia;729;218783;severe weather
Severe Weather;5/25/2011;22:14;5/28/2011;11:00;Duke Energy Midwest;Central Indiana;200;141000;severe weather
Vandalism/Theft;5/28/2013;13:00;5/28/2013;18:00;ISO New England;Maine;Unknown;Unknown;vandalism, physical
Physical Attack;5/29/2012;18:30;5/29/2012;19:40;Tacoma Power (TPWR);Alder Dam, Pierce County, Washington;Unknown;Unknown;vandalism, physical
Vandalism/Theft;5/29/2013;9:52;5/29/2013;9:53;Delmarva Power & Light Company;Wilmington, Delaware;Unknown;Unknown;vandalism, physical
Physical Attack;5/29/2013;0:00;5/29/2013;12:02;Dominion Virginia Power;Henrico County, Virginia;Unknown;Unknown;vandalism, physical
Vandalism;5/30/2013;10:15;5/30/2013;10:16;New York Power Authority;Saranac, New York;Unknown;Unknown;vandalism
Severe Weather;5/29/2011;18:30;5/31/2011;22:00;Consumers Energy;Mid and Southern Lower Peninsula, Michigan;250;113000;severe weather
Severe Weather;5/22/2011;17:09;5/31/2011;0:01;Empire District Electric;Joplin, Sarcoxie, and Wentworth, Missouri;200;20000;severe weather
Severe Weather - Thunderstorms;5/29/2012;20:35;5/31/2012;10:00;Oklahoma Gas & Electric;Oklahoma City Metro Area, Oklahoma;Unknown;112000;severe weather, thunderstorm
Severe Weather - Lightning;5/31/2013;1:00;5/31/2013;1:30;Southwest Power Pool, Inc.;Maumelle, Arkansas;Unknown;Unknown;severe weather, thunderstorm
Severe Weather - Thunderstorms;5/29/2013;20:58;5/31/2013;14:53;Niagara Mohawk Power Corp.;Central and Eastern New York;Unknown;61795;severe weather, thunderstorm
Suspected Sabotage;5/4/2011;12:20;5/4/2011;15:40;ITC Holdings, Inc.;Michigan;0;0;vandalism
Suspected Physical Attack;5/4/2011;13:08;5/4/2011;13:25;FirstEnergy Generation;Maryland;0;0;vandalism, physical
Vandalism;5/5/2011;9:15;5/5/2011;9:15;ISO New England;New Hampshire;0;0;vandalism
Suspected Physical Attack;5/3/2011;12:00;5/5/2011;0:00;New York Power Authority;St. Lawrence Power Dam, New York;0;0;vandalism, physical
Vandalism;5/6/2011;6:56;5/6/2011;10:30;PacifiCorp;Alderwood Substation, Portland, Oregon;0;0;vandalism
Load Shed/Severe Weather  - Lightning Storm;5/7/2012;17:45;5/7/2012;18:06;American Electric Power (AEP);Eastern Ohio;420;1;load shedding, severe weather, thunderstorm
Vandalism;5/7/2012;12:50;5/7/2012;14:00;ISO New England;Williston, Vermont;0;0;vandalism
Vandalism;5/8/2011;19:35;5/8/2011;19:35;Castleton Power, LLC;New York;Unknown;0;vandalism
Physical Attack;5/8/2014;8:39;5/8/2014;8:40;CSolar IV South, LLC;Imperial Valley, California;Unknown;Unknown;vandalism, physical
Physical Attack;5/8/2014;1:00;5/8/2014;1:01;Clarksdale Public Utilities;Mississippi;Unknown;Unknown;vandalism, physical
Vandalism;5/9/2011;13:11;5/9/2011;13:11;Public Service of New Hampshire;Milton, New Hampshire;0;0;vandalism
Suspected Physical Attack;5/9/2011;4:08;5/9/2011;6:40;Exelon Generation Company, LLC;Holtwood, Pennsylvania;630;Unknown;vandalism, physical
Electrical System Separation (Islanding);5/9/2013;13:21;5/9/2013;16:21;WECC;Alberta, Canada, Washington State;Unknown;Unknown;islanding
Physical Attack;5/31/2012;23:45;6/1/2012;4:30;American Electric Power (AEP);Columbus, Ohio;0;0;vandalism, physical
Severe Weather - Thunderstorms;5/31/2013;19:30;6/1/2013;20:00;Ameren Missouri;St. Louis Metro Area Missouri;Unknown;100000;severe weather, thunderstorm
Transmission System Interruption;5/31/2013;19:07;6/1/2013;14:15;Coffeyville Municipal Light and Power;Southeast Kansas, Northeast Oklahoma;102;6300;transmission interruption
Severe Thunderstorms;6/9/2011;17:51;6/10/2011;0:00;ISO New England/Northeast Utilities;Western, Massachusetts, Connecticut;0;100000;severe weather, thunderstorm
Physical Attack - Vandalism;6/11/2014;16:00;6/11/2014;16:30;South Mississippi El Pwr Assn;Southern Mississippi;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;6/11/2014;9:30;6/11/2014;9:31;Tucson Electric Power;Nogales, Arizona;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;6/10/2014;21:50;6/11/2014;14:30;American Electric Power;West Virginia;Unknown;66383;severe weather, thunderstorm
Severe Thunderstorms;6/12/2011;19:00;6/12/2011;20:30;Dominion Virginia Power;Virginia;250;56000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/11/2012;19:50;6/12/2012;15:00;Southern Company;North/Central Alabama, North/Central Georgia;368;110591;severe weather, thunderstorm
Suspected Physical Attack;6/12/2014;9:10;6/12/2014;9:11;Luminant Energy Company, LLC;Somervell County, Texas;Unknown;Unknown;vandalism, physical
Vandalism;6/13/2012;16:55;6/13/2012;22:09;Public Service Company of New Mexico;San Juan County, New Mexico;0;0;vandalism
Loss of 300+ MW Load, Severe Weather - Thunderstorms;6/13/2013;15:30;6/13/2013;16:00;Potomac Electric Power Company;District of Columbia, Maryland;700;40000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/12/2012;15:57;6/14/2012;4:57;CenterPoint Energy;Houston, Texas;920;175000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/13/2013;20:47;6/14/2013;22:47;Southern Company;Southern Company Territory;550;165798;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/13/2013;15:20;6/14/2013;21:10;American Electric Power;Ohio, Virginia, West Virginia;Unknown;90247;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/13/2013;17:45;6/14/2013;18:30;Duke Energy Progress;Central and Eastern North Carolina;Unknown;53000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/13/2013;13:17;6/14/2013;17:35;Duke Energy Carolinas;Western Piedmont North Carolina;1000;175000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/13/2013;16:08;6/14/2013;17:16;Dominion Virginia Power;Richmond Metro area, Virginia;900;283000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/15/2014;0:00;6/15/2014;1:00;Xcel Energy;Central Minnesota;Unknown;55951;severe weather, thunderstorm
Vandalism;6/15/2011;16:00;6/16/2011;6:30;PacifiCorp;Bingham County, Idaho;Unknown;Unknown;vandalism
Severe Thunderstorms;6/15/2011;19:15;6/16/2011;6:00;Southern Company;Georgia;563;169000;severe weather, thunderstorm
Severe Thunderstorms;6/15/2011;19:17;6/16/2011;1:45;Duke Energy;Piedmont, North Carolina;300;70135;severe weather, thunderstorm
Load Shed of 100+ MW Under Emergency Operational Policy;6/17/2013;16:17;6/17/2013;18:49;Tampa Electric Co;Hillsborough County Florida;180;37;load shedding
Severe Thunderstorms;6/18/2011;17:00;6/18/2011;21:33;Duke Energy Carolinas;North Carolina, South Carolina;300;70000;severe weather, thunderstorm
Electrical System Separation (Islanding);6/18/2013;15:51;6/18/2013;16:23;Western Area Power Administration;Wyoming;6;Unknown;islanding
Physical Attack - Vandalism;6/18/2014;9:52;6/18/2014;19:00;Public Utility District No.1 of Snohomish County (SNPD);Washington;Unknown;Unknown;vandalism, physical
Severe Thunderstorms;6/18/2011;15:30;6/19/2011;15:42;Southern Company;Northern, Georgia;312;93828;severe weather, thunderstorm
Electrical System Separation (Islanding);6/19/2013;19:57;6/19/2013;20:09;Western Electricity Coordinating Council;Alberta, Canada;Unknown;Unknown;islanding
Physical Attack - Vandalism;6/19/2014;8:47;6/19/2014;8:48;Tennessee Valley Authority;Nashville, Tennessee;Unknown;Unknown;vandalism, physical
Vandalism;6/2/2012;7:30;6/2/2012;11:35;Pacific Gas and Electric Company;San Francisco, California;Unknown;Unknown;vandalism
Vandalism;6/20/2011;10:36;6/20/2011;10:36;Tacoma Power (TPWR);Collins Substation, Washington;0;0;vandalism
Public Appeal to Reduce Electricity Usage;6/18/2011;16:45;6/20/2011;23:59;West Memphis Utilities;Eastern, Arkansas;Unknown;Unknown;public appeal
Severe Weather - Thunderstorms;6/19/2012;4:30;6/20/2012;23:00;Xcel Energy;Minneapolis/St. Paul, Minnesota;Unknown;68200;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/18/2014;17:00;6/20/2014;15:00;Detroit Edison Co;Southeast Michigan;Unknown;138802;severe weather, thunderstorm
Fuel Supply Deficiency (Water);6/19/2012;5:30;6/21/2012;5:30;California Department of Water Resources;CAISO Territory California;Unknown;Unknown;fuel supply emergency, hydro
Physical Attack, Vandalism;6/21/2013;23:14;6/21/2013;23:15;Delmarva Power & Light Company;New Castle Delaware;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism & Sabotage;6/21/2013;7:40;6/21/2013;12:14;Valley Electric Assn, Inc;Pahrump Nevada;Unknown;1100;vandalism, physical
Physcial Attack, Vandalism;6/20/2013;18:00;6/21/2013;10:00;Potomac Electric Power Co;Richie Station (No. 123), Maryland;Unknown;Unknown;vandalism, physical
Vandalism;6/22/2011;20:12;6/22/2011;20:12;Tacoma Power (TPWR);Knoble Substation, Spanaway, Washington;0;0;vandalism
Severe Weather;6/22/2011;9:46;6/22/2011;9:46;Tennessee Valley Authority (TVA);Knoxville, Tennessee;Unknown;106300;severe weather
Severe Weather;6/21/2011;18:30;6/22/2011;7:00;American Electric Power (AEP);AEP Region;Unknown;56000;severe weather
Physical Attack, Vandalism;6/22/2013;4:59;6/22/2013;21:28;PacifiCorp;Medford Oregon;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;6/22/2013;16:12;6/22/2013;17:45;NorthWestern Energy LLC - (MT);Eastern Montana;Unknown;Unknown;vandalism, physical
Vandalism;6/23/2011;8:10;6/23/2011;9:00;ISO New England/Velco;Highgate, Vermont;0;0;vandalism
Severe Thunderstorms;6/22/2011;19:00;6/23/2011;1:00;Southern Company;Alabama, Georgia;316;75101;severe weather, thunderstorm
Severe Thunderstorms;6/21/2011;21:45;6/23/2011;2:00;Exelon Corporation/ComEd;Illinois;Unknown;300000;severe weather, thunderstorm
Load Shed;6/23/2012;18:57;6/23/2012;19:28;ISO New England;North Shore, Massachusetts;51;29250;load shedding
Severe Weather - Fog;6/23/2013;21:20;6/24/2013;1:35;Pacific Gas & Electric Co;Central Coast California;Unknown;148000;severe weather, fog
Severe Weather - Hailstorm;6/21/2013;17:39;6/24/2013;6:00;Xcel Energy;Minneapolis/St. Paul area Minnesota;Unknown;400000;severe weather, hail
Physical Attack - Vandalism;6/24/2014;14:54;6/24/2014;14:55;Tennessee Valley Authority;Nashville, Tennessee;Unknown;Unknown;vandalism, physical
Severe Thunderstorms;6/24/2011;18:30;6/25/2011;1:30;Southern Company;North/North Central Alabama, Georgia;340;102275;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/24/2013;19:30;6/25/2013;17:46;Exelon Corporation/ComEd;Illinois;Unknown;283451;severe weather, thunderstorm
Severe Weather - Wind & Rain;6/25/2012;16:04;6/26/2012;13:45;Dominion;Central Virginia;600;190000;severe weather, wind, rain
Severe Weather - Thunderstorms;6/24/2013;19:30;6/26/2013;17:00;Northern Indiana Public Service Company;Indiana;Unknown;86615;severe weather, thunderstorm
Severe Weather - Hailstorm;6/21/2013;3:00;6/26/2013;0:00;Xcel Energy;Minnesota;Unknown;193000;severe weather, hail
Public Appeal to Reduce Electricity Usage;6/27/2011;15:00;6/27/2011;19:00;ERCOT ISO;Texas;0;0;public appeal
Vandalism;6/27/2011;18:55;6/27/2011;18:55;City of Tacoma (TPWR);Olympic Pipeline Substation, Washington;Unknown;Unknown;vandalism
Severe Thunderstorms;6/26/2011;18:00;6/27/2011;13:00;Southern Company;Alabama, Georgia;300;90160;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;6/26/2011;16:46;6/27/2011;7:59;Sunflower Electric Power Corporation;Southwest Kansas;Unknown;Unknown;public appeal
Physical Attack, Vandalism;6/27/2013;1:10;6/27/2013;2:45;Potomac Electric Power Company;Richie Substation,Seat Pleasant, Maryland;Unknown;Unknown;vandalism, physical
Equipment Failure;6/28/2013;18:02;6/28/2013;20:46;Southern California Edison Co;Los Angeles and Orange Counties, California;240;65255;equipment failure
Physical Attack, Vandalism;6/28/2013;17:14;6/28/2013;17:15;Delmarva Power & Light Company;New Castle Delaware;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;6/28/2013;13:00;6/28/2013;13:01;ISO New England;Vermont;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;6/27/2013;17:00;6/28/2013;12:00;Detroit Edison Co;South Eastern Michigan;Unknown;138000;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;6/29/2011;11:30;6/29/2011;18:04;Southwestern Public Service;Panhandle and Muleshoe, Texas;0;0;public appeal
Severe Thunderstorms;6/27/2011;0:00;6/29/2011;1:00;AMEREN;Illinois, Missouri;Unknown;80000;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;6/29/2012;16:00;6/29/2012;21:00;Entergy;Eastern, Arkansas;45;7935;public appeal
Equipment Trip & Failure;6/29/2012;12:10;6/29/2012;17:02;Puerto Rico Electric Power Authority (PREPA);Puerto Rico;1800;900000;equipment failure
Physical Attack;6/29/2012;10:45;6/29/2012;10:45;Delmarva Power & Light Company;New Castle, Delaware;0;0;vandalism, physical
Electrical System Separation (Islanding);6/3/2013;12:50;6/3/2013;13:36;WECC RC Vancouver;Alberta, Canada;Unknown;Unknown;islanding
Electrical System Islanding;6/3/2014;15:32;6/3/2014;15:59;Peak Reliability;Alberta, Canada;338;Unknown;islanding
Physical Attack - Vandalism;6/3/2014;1:38;6/3/2014;1:43;Lower Colorado River Authority;Texas;Unknown;Unknown;vandalism, physical
Major System Interruption/Load Shed;6/30/2011;14:11;6/30/2011;23:25;Salt River Project;Phoenix, Arizona;5299;160000;load shedding
Vandalism;6/30/2011;22:31;6/30/2011;22:31;Tacoma Power (TPWR);Olympic Pipeline Substation, Washington;0;0;vandalism
Severe Weather - Thunderstorms;6/29/2012;23:30;6/30/2012;2:00;Exelon Corporation/ComEd;Northeast Illinois;Unknown;109000;severe weather, thunderstorm
Vandalism;6/4/2011;1:17;6/4/2011;3:25;Pacific Gas and Electric;Midway, California;Unknown;420;vandalism
Severe Weather;6/2/2011;23:45;6/4/2011;16:00;South Carolina Electric and Gas;Greater Columbia, South Carolina;0;50465;severe weather
Severe Weather - Tornados;5/31/2013;18:00;6/4/2013;10:30;Oklahoma Gas & Electric Co;El Reno, S. Oklahoma City, Oklahoma;Unknown;127000;severe weather, tornado
Electrical System Separation (Islanding);6/5/2011;20:02;6/5/2011;20:55;Pacific Gas and Electric;Melones, California;10;5314;islanding
Severe Weather - Thunderstorms;6/5/2014;13:06;6/5/2014;13:07;Tennessee Valley Authority;West Tennessee;Unknown;56475;severe weather, thunderstorm
Load Shed/ Automatic undervoltage relay action;6/6/2011;0:13;6/6/2011;3:15;El Paso Electric Company;El Paso County, Texas, Dona Ana County, New Mexico;450;162000;load shedding
Severe Thunderstorms;6/5/2011;5:30;6/6/2011;1:30;CenterPoint Energy;Houston Metro-Area, Texas;473;78000;severe weather, thunderstorm
Vandalism;6/6/2012;0:37;6/6/2012;0:37;Potomac Electric Power Company (PEPCO);Columbia Heights, NW, Washington DC;0;0;vandalism
Vandalism;6/6/2012;8:00;6/6/2012;8:00;New York Power Authority;Delhi, New York;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;6/5/2014;3:00;6/7/2014;23:45;Memphis Light Gas and Water Division;Shelby County, Tennessee;494;38500;severe weather, thunderstorm
Vandalism;6/8/2011;0:58;6/8/2011;0:58;Tacoma Power (TPWR);Fredrickson Substation, Washington;Unknown;Unknown;vandalism
Severe Weather;6/7/2011;14:00;6/8/2011;6:00;American Electric Power;Ohio;Unknown;52747;severe weather
Public Appeal to Reduce Electricity Usage;6/6/2011;15:00;6/8/2011;15:00;West Memphis Utilities;Eastern, Arkansas;Unknown;13000;public appeal
Load Shed;6/8/2012;17:20;6/8/2012;17:25;Public Service Company of Colorado;Denver Metro Area, Colorado;120;30379;load shedding
Severe Weather - Thunderstorms;6/7/2014;23:00;6/8/2014;5:30;Southern Company;North and Central , Alabama;217;65000;severe weather, thunderstorm
Suspected Physical Attack;6/9/2011;14:15;6/9/2011;14:15;Southern California Edison (SCE);San Antonio Dam Area, Los Angeles County, California;0;0;vandalism, physical
Severe Thunderstorms;6/9/2011;4:30;6/9/2011;12:00;Exelon Corporation/ComEd;Illinois;Unknown;169000;severe weather, thunderstorm
Electrical System Islanding;6/9/2014;11:07;6/9/2014;11:30;Peak Reliability;Alberta, Canada;Unknown;Unknown;islanding
Vandalism;7/1/2011;16:38;7/1/2011;22:38;Dayton Power & Light;Greene County Ohio;Unknown;0;vandalism
Vandalism;7/1/2011;8:00;7/1/2011;8:01;ISO New England;CONVEX Local Control Center, Connecticut;0;0;vandalism
Severe Weather;6/30/2011;22:30;7/1/2011;17:00;Exelon Corporation/ComEd;Illinois;Unknown;121000;severe weather
Operational Failure, Storm Damage;7/1/2012;16:47;7/1/2012;23:00;North Carolina Municipal Power Agency #1;Tarboro, North Carolina;48;6100;equipment failure, severe weather, storm
Severe Weather;7/1/2012;17:45;7/1/2012;22:15;Progress Energy, Carolinas;Northern, Central and Eastern North Carolina;Unknown;69106;severe weather
Severe Weather - Thunderstorms;6/30/2014;23:20;7/1/2014;17:00;Northern Indiana Public Service Company;North Central Indiana;Unknown;127000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/30/2014;17:55;7/1/2014;2:53;We Energies;Southeast  Wisconsin;424;120000;severe weather, thunderstorm
Fuel Supply Deficiency (Water);7/7/2012;4:00;7/10/2012;4:00;California Department of Water Resources;CAISO California;Unknown;0;fuel supply emergency, hydro
Physical Attack, Copper Theft;7/10/2013;14:30;7/10/2013;14:45;ISO New England;Boston, Massachusetts;0;0;vandalism, physical
Vandalism;7/11/2011;13:30;7/11/2011;13:30;Central Maine Power Company;Maine;Unknown;0;vandalism
Vandalism;7/11/2011;13:13;7/11/2011;13:13;Duke Energy;Southwest Ohio;0;0;vandalism
Severe Weather;7/11/2011;9:00;7/11/2011;10:25;Detroit Edison, Subsidiary of DTE Energy;Michigan;254;103000;severe weather
Severe Weather;7/11/2011;9:00;7/11/2011;9:00;Exelon Corporation/ComEd;Illinois;Unknown;500000;severe weather
Suspected Cyber Attack;7/8/2011;10:00;7/11/2011;9:00;PJM Interconnection;PJM Corporate Office, Pennsylvania;Unknown;Unknown;vandalism, cyber
Severe Weather - Thunderstorms;7/10/2013;17:30;7/11/2013;20:00;American Electric Power;AEP Ohio Power Footprint;Unknown;122314;severe weather, thunderstorm
Suspected Physical Attack;7/12/2011;20:20;7/12/2011;21:30;Gen On;California;Unknown;Unknown;vandalism, physical
Vandalism;7/12/2011;0:00;7/12/2011;0:00;Central Maine Power Company;Maine;Unknown;0;vandalism
Severe Weather;7/11/2011;14:27;7/12/2011;15:50;American Electric Power (AEP);Indiana, Michigan, Ohio;Unknown;120000;severe weather
Severe Weather;7/11/2011;11:15;7/12/2011;8:15;Consumers Energy;Western and Southern Lower Peninsula Michigan;Unknown;85000;severe weather
Physical Attack, Vandalism;7/12/2013;10:00;7/12/2013;10:01;Tacoma Power (TPWR);Washington;Unknown;Unknown;vandalism, physical
Load Shed;7/13/2011;17:19;7/13/2011;22:03;Public Service Company of Colorado;Pueblo, Colorado;580;Unknown;load shedding
Public Appeal to Reduce Electricity Usage;7/14/2011;11:00;7/14/2011;19:00;ERCOT ISO;Texas;0;0;public appeal
Physical Attack, Vandalism;7/11/2013;23:20;7/14/2013;15:22;Arizona Public Service Co;Arizona;455;Unknown;vandalism, physical
Public Appeal to Reduce Energy Usage;7/16/2012;11:27;7/16/2012;12:29;North Little Rock Electric Department;Little Rock, Arkansas;Unknown;Unknown;public appeal
Severe Weather - Thunderstorms;7/18/2012;16:20;7/18/2012;19:05;American Electric Power (AEP);Eastern Ohio;Unknown;67000;severe weather, thunderstorm
Physical Attack, Vandalism;7/18/2013;3:15;7/18/2013;3:59;PacifiCorp;Utah;Unknown;Unknown;vandalism, physical
Vandalism;7/19/2011;11:45;7/19/2011;15:00;Central Maine Power Company;Maine;Unknown;Unknown;vandalism
Vandalism;7/19/2012;0:32;7/19/2012;0:33;Delmarva Power & Light Company;Newark, Delaware;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;7/18/2012;14:16;7/19/2012;23:58;Duke Energy Midwest;Southeast Ohio, Northern Kentucky, Southern Indiana;480;103000;severe weather, thunderstorm
Severe Weather - Thunderstorms;7/18/2012;23:00;7/19/2012;6:00;Exelon Corporation/ComEd;Northern Illinois;Unknown;181000;severe weather, thunderstorm
Public Appeal - Heatwave;7/18/2013;11:30;7/19/2013;17:30;Niagara Mohawk Power Corp.;Upstate New York;Unknown;Unknown;public appeal, severe weather, heat
Equipment Failure;7/18/2013;23:45;7/19/2013;10:05;San Diego Gas & Electric Co;Southern Orange County California;200;123000;equipment failure
Fuel Supply Emergency (Natural Gas);7/17/2013;15:30;7/19/2013;6:45;Long Island Power Authority;Holtsville, New York;417;Unknown;fuel supply emergency, natural gas
Public Appeal to Reduce Electricity Usage;6/30/2012;15:00;7/2/2012;0:00;Tennessee Valley Authority (TVA);Northeast Tennessee;Unknown;Unknown;public appeal
Severe Weather - Thunderstorms;6/30/2012;22:30;7/2/2012;8:11;Southern Maryland Electric Cooperative, Inc.;Calvert, Charles, St. Mary's, Prince Georges Counties Maryland;354;60000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/29/2012;17:15;7/2/2012;23:59;Duke Energy Midwest;Eastern Indiana, Northern Kentucky, Greater Cincinnati area Ohio;2946;4645572;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/29/2012;16:00;7/2/2012;16:00;American Electric Power (AEP);Indiana, Michigan, Ohio, West Virginia;Unknown;1355919;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/30/2014;20:00;7/2/2014;18:30;Exelon Corporation/ComEd;Illinois;Unknown;420000;severe weather, thunderstorm
Fire;7/20/2002;0:40;7/20/2002;8:12;Consolidated Edison Co. of New York;New York;278;63500;wild fire
Vandalism;7/20/2011;9:10;7/20/2011;16:30;Tacoma Power (TPWR);Frederickson Substation, Washington;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;7/19/2013;18:00;7/20/2013;9:00;Detroit Edison Co;Michigan;Unknown;156627;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;7/21/2011;13:00;7/21/2011;15:00;City Water Light and Power;Springfield, Illinois;Unknown;Unknown;public appeal
Severe Weather, Equipment Failure;7/21/2012;2:19;7/21/2012;5:20;Lubbock Power and Light;City of Lubbock, Texas;220;70000;severe weather, equipment failure
Severe Weather - Thunderstorms;7/19/2013;22:30;7/21/2013;20:00;Niagara Mohawk Power Corporation (dba National Grid);New York;Unknown;74300;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;7/22/2011;11:00;7/22/2011;18:00;Niagara Mohawk Power Corporation (dba National Grid);Upstate, New York;Unknown;Unknown;public appeal
Load Shed;7/22/2011;11:34;7/22/2011;17:26;PJM Interconnection;Ohio;206;23000;load shedding
Public Appeal to Reduce Electricity Usage;7/21/2011;12:32;7/22/2011;6:30;Consumers Energy;Lower Peninsula, Michigan;8881;Unknown;public appeal
Physical Attack, Vandalism;7/22/2013;7:00;7/22/2013;15:00;Terra-Gen Operating Company;California;Unknown;Unknown;vandalism, physical
Vandalism;7/24/2011;14:34;7/24/2011;15:47;Public Service of NH (Northeast Utilities);Southern, New Hampshire;0;0;vandalism
Severe Weather;7/23/2011;2:30;7/24/2011;9:00;Exelon Corporation/ComEd;Illinois;Unknown;169000;severe weather
Severe Weather;7/18/2011;17:00;7/24/2011;13:30;Detroit Edison, Subsidiary of DTE Energy;Southeast Michigan;Unknown;197166;severe weather
Severe Weather - Thunderstorms;7/24/2012;7:30;7/24/2012;22:00;Exelon Corporation/ComEd;Northern Illinois;Unknown;330000;severe weather, thunderstorm
